,Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Prevalence in males (%),Prevalence in females (%),Population_x,"Suicide rate (deaths per 100,000 individuals)","Depressive disorder rates (number suffering per 100,000)",Population_y,Prevalence - Depressive disorders - Sex: Both - Age: All Ages (Number) (people suffering from depression),20-24 years old (%),10-14 years old (%),All ages (%),70+ years old (%),30-34 years old (%),15-19 years old (%),25-29 years old (%),50-69 years old (%),Age-standardized (%),15-49 years old (%)
335,Azerbaijan,AZE,2017,0.199997827826,0.689806923974,0.204891197681,2.5831567362,0.486327895182999,2.59229296217,2.30588905326,1.98832342209,3.10506234728,9845000.0,4.07103201423634,2462.86838038,9845000.0,262605.713442,2.56054157337,1.00763962331,2.68428180261,5.87069738225999,2.76532779979,2.16237369496,2.6931685458,4.37665898365,2.59229296217,2.78296538123
363,Bahamas,BHS,2017,0.203668036148,0.889431839106,0.362750252266,4.65502415943,0.81665197722,2.62663305543,2.10837111147,2.0687127261,3.12974295642,382000.0,3.17229922986357,2493.40350299,382000.0,10157.3864643,2.74933525957,1.27327822373,2.82168124718,4.29135890763,2.92790929026,2.55969440696,2.81767169486,4.25688635043,2.62663305543,3.04532890385999
391,Bahrain,BHR,2017,0.206968624015999,0.836822158798,0.273714301731,4.67330435973,1.69567382053,3.87910515284,0.723557569448,3.45436680989,4.59440317203,1494000.0,4.22714967556266,3711.70160664,1494000.0,62428.6887886,4.41075172716,1.71107660277,4.38626659555,5.38254246821,5.13574790833,3.57013356079,4.83055522895,5.67220149056,3.87910515284,5.07324819721
419,Bangladesh,BGD,2017,0.252599547699,0.583419095880999,0.137974267122,4.28398850162,0.512800136118,4.11061130998999,1.46219797003,3.08846434181,5.10479560988,159684992.0,6.03212117931856,4026.38837361999,159684992.0,6026376.7132,4.02313966995,1.24993202611,3.92079740616999,8.38387386768,4.57947560906,3.07335875204,4.21733480811,7.21723194920999,4.11061130998999,4.59950007075
447,Barbados,BRB,2017,0.229385586889,0.919956254648,0.320598997921,4.66304408878999,0.842954553876,2.76332220362,1.57764044329,2.27400831745,3.20648320917,286000.0,3.9742716215229,2614.75713555,286000.0,9377.84868203,2.96019660302,1.29387173911,3.28308976209,4.55955399646,3.06153885212,2.68391016102,2.97681787779,4.50461660965999,2.76332220362,3.22401973521
475,Belarus,BLR,2017,0.197650078792999,0.699677096504,0.210693402008,2.94693198625,0.779867568734,4.02222608312,5.34288813216,3.23894215597,4.63135931428,9450000.0,19.0348729065089,3753.88305083,9450000.0,457615.940288,3.72888775454999,1.22272712888,5.02929389826,8.6623154789,4.53564124636,2.82465090165,4.20217908491,6.97966144008,4.02222608312,4.47653212568999
503,Belgium,BEL,2017,0.258072602791,0.947158849539,0.603868895678,5.21264464436,0.823451382231,4.10918615476,1.46563856958,3.02671851386,5.14274488576,11420000.0,14.2753187689786,3735.79216005,11420000.0,496927.736028,4.66707501990999,1.82158840378,4.65847729225,5.10557404101,5.27318026272,3.60504124609,4.91518509028,5.40818450307,4.10918615476,5.25397336915
531,Belize,BLZ,2017,0.194921776429,0.881646522984,0.258710442087,4.56854773198,0.836791599092,2.83866680821,1.78401267364,2.41821636832,3.25041571021,376000.0,7.83283387973175,2724.17176631,376000.0,10114.5571627,3.15990330597,1.26604048862,2.67589413316,4.52992747342,3.24343393176,2.74452701207,3.16823671257,4.57022571072,2.83866680821,3.29092315905
559,Benin,BEN,2017,0.170321752983999,0.640205752532,0.120290320775999,2.90529373064,0.505540966887,3.62989898914,0.988583683488999,2.93023919118,4.26723598899,11175000.0,11.1378633216422,3580.20717,11175000.0,290851.665559,3.28635826160999,1.19083833684,2.56378900785,7.93020987520999,4.07007054286,2.64971526413999,3.67552823704,6.57356107629,3.62989898914,3.75288796793
587,Bermuda,BMU,2017,0.221153779929,0.974986056679,0.491448911769,4.69281595169,0.853378869683999,2.8262925466,1.50691678164,2.30267238137,3.29538856685,63000.0,3.4284433373722,2659.14257987,63000.0,2233.80159611,3.07313449176,1.33468006862,3.50809248985,4.85819401882,3.0524171269,2.77023779478,3.01305544329,4.58587427288,2.8262925466,3.299906664
